ID	Task	Phase	Owner	Added	Deadline	Status	Why it matters
1	Decide September pricing — revert to ₹21,000, or extend the early bird? [BLOCKING]	Decision	HG	2026-08-27	2026-08-27	Not started	The page advertises ₹19,000; the checkout charges ₹21,000 because the 20 Aug deadline passed. September batches start 1 Sep. Blocks row 3.  (5 min)
2	Decide the SEBI wording — registered, or education-only? [BLOCKING]	Decision	HG	2026-08-27	2026-08-27	Not started	Needed for the founder block. Finkhoz leads with this badge because it settles trust in one line. Ambiguity costs more than either answer.  (5 min)
3	Fix September pricing on the page	Today	Dev ?	2026-08-27	2026-08-27	Not started	Right now a September buyer reads ₹19,000 and is charged ₹21,000 at checkout. Price each batch separately — September and October are on different deadlines.  (30 min)
4	Remove “Early bird — till 20 Aug 2026”	Today	Dev ?	2026-08-27	2026-08-27	Not started	Expired a week ago and still on the page. Makes even the October discount you are still honouring look unattended.  (5 min)
5	Add Open Graph tags so the page previews on WhatsApp	Today	Dev ?	2026-08-27	2026-08-27	Not started	Referrals are how you actually grow, and in India they travel on WhatsApp. Every forwarded link currently arrives as a bare URL — no title, no image, no description.  (15 min)
6	Redeploy the 8 August homepage build	Today	Dev ?	2026-08-27	2026-08-27	Not started	Seventeen days of a one-action regression. Fixes seven previously-fixed items at once, including the duplicated footer and black video thumbnails.  (5 min)
7	WhatsApp the 72 flagship alumni	Today	Asba	2026-08-27	2026-08-27	Not started	Two asks in one message: “what can you do now that you couldn’t before?” for testimonials, plus a plain referral ask with a forwardable link. Mention September has seats. Highest-return hour this month.  (1 hr)
8	Set up the Calendly call with Hiral	Today	HG	2026-08-27	2026-08-27	Not started	15 minutes, titled “Is IFM right for me?”. Two capped windows a week. Ask “what’s making you hesitate?” on the booking form. The missing middle between ₹21,000 and closing the tab.  (2 hrs)
9	Write and publish Refund, Privacy and T&C policies	This week	HG	2026-08-27	2026-08-31	Not started	The checkout says “Please accept the terms to continue” and there are no terms. Your FAQ cites a cancellation policy that isn’t published. Both competitors publish all three.  (3 hrs)
10	Build the trust footer	This week	Dev ?	2026-08-27	2026-08-31	Not started	Policy links, Mooga Tech Solutions India Pvt Ltd, GSTIN 27AAECM9012F1ZM, the Nariman Point address, WhatsApp number. The footer currently holds one link.  (30 min)
11	Install Meta pixel + GA4	This week	Dev ?	2026-08-27	2026-08-31	Not started	Not for ads today — it quietly builds the audience for the day you do run them, and with no paid spend, page analytics is your only attribution.  (3 hrs)
12	Add “How did you hear about us?” to the checkout	This week	Dev ?	2026-08-27	2026-08-31	Not started	One dropdown, populating the referredBy field your form already sends and never fills. Two cohorts from now you’ll know what fills the room instead of estimating.  (1 hr)
13	New hero headline and subhead	This week	Copy ?	2026-08-27	2026-08-31	Not started	“You were never bad with money. You were just never taught.” Replaces “Choose your programme” — an instruction about using your website, in the most valuable position on the page. You currently have no h1 at all.  (1 hr)
14	Founder line and photo in the hero	This week	Copy ?	2026-08-27	2026-08-31	Not started	“I covered business for a living. I still let someone else handle my money.” Your top-performing post ever. Asset: hiral-goel.jpg  (1 hr)
15	Two CTAs — Reserve primary, Talk to Hiral secondary	This week	Dev ?	2026-08-27	2026-08-31	Not started	Style the call lighter. Someone ready to pay should never be diverted into a call; the call catches people who’d otherwise leave.  (1 hr)
16	Trust strip under the CTA	This week	Copy ?	2026-08-27	2026-08-31	Not started	116 people have taken an IFM workshop · 12 seats per batch · 8 sessions, 2 hrs each · Nariman Point. Use the real number — specificity reads as honesty.  (30 min)
17	“Sound familiar?” pain block	This week	Copy ?	2026-08-27	2026-08-31	Not started	Four lines in her voice, not yours. The one that matters most names the deferral — “you’ll get to it properly once the children are older; that was four years ago.”  (1 hr)
18	“Meet Hiral” full block	This week	Copy ?	2026-08-27	2026-08-31	Not started	The business-journalist story, why IFM exists, and how she teaches. Your page doesn’t mention her once. This is the biggest hole on it.  (2 hrs)
19	Photo band — 3 or 4 workshop photos	This week	Copy ?	2026-08-27	2026-08-31	Not started	Your page has two images and both are logos. Assets in CLAUDE/proposals/assets/ — photo-teaching.jpg, photo-room.jpg, photo-group.jpg, photo-engaged.jpg. Compress properly.  (2 hrs)
20	Games video v1	This week	Sakshi	2026-08-27	2026-08-31	Not started	Cut from IFM-reel-E-games.mp4 and the 11 finished reels. Build the page version around people playing — your worst-performing reel ever was faceless workshop footage. Ship v1, upgrade later.  (4 hrs)
21	“What’s included” — itemised	This week	Copy ?	2026-08-27	2026-08-31	Not started	₹21,000 currently buys “8 days · 2 hrs”, which reads as a time cost. List the handbook, the cap of 12, notes after each session, the games, WhatsApp access, the venue. No invented rupee values.  (30 min)
